237, 83, 0.1908, 0.0667,2.0899,0.7302 
238, 84, 0.1916, 0.0675,2.0984,0.7387 
239, 85, 0.1924, 0.0683,2.1068,0.7473 
240, 86, 0.1932, 0.0691,2.1152,0.7560 
241, 87, 0.1939, 0.0699,2.1235,0.7648 
242, 88, 0.1947, 0.0707,2.1318,0.7738 
243, 89, 0.1954, 0.0715,2.1400,0.7828 
244, 90, 0.1962, 0.0723,2.1482,0.7919 
244, 91, 0.1969, 0.0731,2.1564,0.8010 
245, 92, 0.1977, 0.0740,2.1645,0.8102 
246, 93, 0.1984, 0.0748,2.1726,0.8194 
247, 94, 0.1991, 0.0756,2.1806,0.8286 
248, 95, 0.1999, 0.0765,2.1886,0.8378 
249, 96, 0.2006, 0.0773,2.1966,0.8469 
250, 97, 0.2013, 0.0781,2.2042,0.8557 
251, 98, 0.2020, 0.0789,2.2118,0.8645 
252, 99, 0.2027, 0.0797,2.2194,0.8731 
252, 100, 0.2034, 0.0805,2.2270,0.8817 
253, 101, 0.2041, 0.0813,2.2346,0.8903 
254, 102, 0.2048, 0.0820,2.2422,0.8987 
255, 103, 0.2055, 0.0828,2.2498,0.9071 
256, 104, 0.2062, 0.0835,2.2574,0.9154 
257, 105, 0.2069, 0.0843,2.2651,0.9236 
258, 106, 0.2076, 0.0850,2.2728,0.9317 
259, 107, 0.2083, 0.0858,2.2805,0.9398 
259, 107, 0.2090, 0.0865,2.2883,0.9478 
260, 108, 0.2097, 0.0872,2.2962,0.9557 
261, 109, 0.2104, 0.0880,2.3041,0.9636 
262, 110, 0.2112, 0.0887,2.3121,0.9714 
263, 111, 0.2119, 0.0894,2.3201,0.9792 
264, 112, 0.2126, 0.0901,2.3280,0.9868 
265, 113, 0.2133, 0.0908,2.3359,0.9944 
266, 114, 0.2141, 0.0915,2.3439,1.0020 
267, 114, 0.2148, 0.0922,2.3519,1.0095 
268, 115, 0.2155, 0.0929,2.3600,1.0171 
268, 116, 0.2163, 0.0936,2.3682,1.0247 
269, 117, 0.2170, 0.0943,2.3764,1.0323 
270, 118, 0.2178, 0.0950,2.3847,1.0399 
271, 119, 0.2186, 0.0957,2.3931,1.0475 
272, 120, 0.2193, 0.0964,2.4015,1.0553 
273, 121, 0.2201, 0.0971,2.4099,1.0630 
274, 121, 0.2209, 0.0978,2.4184,1.0708 
275, 122, 0.2217, 0.0985,2.4269,1.0787 
276, 123, 0.2224, 0.0992,2.4354,1.0866 
277, 124, 0.2232, 0.1000,2.4440,1.0946 
278, 125, 0.2240, 0.1007,2.4525,1.1027 
279, 126, 0.2247, 0.1014,2.4607,1.1108 
280, 127, 0.2255, 0.1022,2.4689,1.1190 
281, 128, 0.2262, 0.1029,2.4770,1.1273 
282, 129, 0.2270, 0.1037,2.4852,1.1355 
283, 130, 0.2278, 0.1045,2.4934,1.1439 
284, 131, 0.2285, 0.1052,2.5016,1.1522 
285, 132, 0.2293, 0.1060,2.5099,1.1605 
285, 133, 0.2300, 0.1068,2.5181,1.1689 
286, 133, 0.2308, 0.1075,2.5264,1.1773 
287, 134, 0.2315, 0.1083,2.5347,1.1856 
288, 135, 0.2323, 0.1090,2.5430,1.1940 
289, 136, 0.2330, 0.1098,2.5513,1.2023 
290, 137, 0.2338, 0.1106,2.5597,1.2106 
291, 138, 0.2346, 0.1113,2.5680,1.2188 
292, 139, 0.2353, 0.1121,2.5764,1.2270 
293, 140, 0.2361, 0.1128,2.5848,1.2351 
294, 141, 0.2368, 0.1135,2.5930,1.2428 
295, 142, 0.2376, 0.1142,2.6012,1.2504 
296, 143, 0.2383, 0.1149,2.6094,1.2580 
297, 143, 0.2391, 0.1156,2.6177,1.2656 
298, 144, 0.2398, 0.1163,2.6259,1.2731 
299, 145, 0.2406, 0.1170,2.6342,1.2806 
300, 146, 0.2413, 0.1177,2.6424,1.2882 
300, 147, 0.2421, 0.1183,2.6507,1.2958 
301, 148, 0.2428, 0.1190,2.6590,1.3034 
302, 149, 0.2436, 0.1197,2.6673,1.3110 
303, 149, 0.2443, 0.1205,2.6756,1.3187 
304, 150, 0.2451, 0.1212,2.6839,1.3265 
305, 151, 0.2458, 0.1219,2.6922,1.3344 
306, 152, 0.2466, 0.1226,2.7005,1.3424 
307, 153, 0.2473, 0.1234,2.7088,1.3504 
308, 154, 0.2481, 0.1241,2.7171,1.3586 
309, 155, 0.2488, 0.1249,2.7249,1.3670 
310, 156, 0.2495, 0.1256,2.7328,1.3755 
311, 157, 0.2502, 0.1264,2.7406,1.3841 
312, 158, 0.2510, 0.1272,2.7485,1.3927 
312, 159, 0.2517, 0.1280,2.7564,1.4015 
313, 160, 0.2524, 0.1288,2.7644,1.4103 
314, 161, 0.2532, 0.1297,2.7725,1.4192 
315, 162, 0.2539, 0.1305,2.7806,1.4281 
316, 163, 0.2546, 0.1313,2.7889,1.4371 
317, 164, 0.2554, 0.1321,2.7972,1.4461 
318, 165, 0.2562, 0.1329,2.8056,1.4551 
319, 166, 0.2570, 0.1338,2.8142,1.4641 
320, 167, 0.2578, 0.1346,2.8229,1.4730 
321, 168, 0.2586, 0.1354,2.8316,1.4820 
322, 169, 0.2594, 0.1362,2.8405,1.4909 
323, 170, 0.2602, 0.1370,2.8495,1.4997 
324, 171, 0.2610, 0.1378,2.8584,1.5080 
325, 172, 0.2618, 0.1385,2.8674,1.5162 
326, 173, 0.2627, 0.1392,2.8765,1.5244 
327, 174, 0.2635, 0.1400,2.8858,1.5326 
328, 175, 0.2644, 0.1407,2.8950,1.5407 
329, 176, 0.2652, 0.1415,2.9044,1.5488 
330, 176, 0.2661, 0.1422,2.9138,1.5570 
331, 177, 0.2670, 0.1429,2.9233,1.5651 
332, 178, 0.2678, 0.1437,2.9329,1.5733 
334, 179, 0.2687, 0.1444,2.9424,1.5815 
335, 180, 0.2696, 0.1452,2.9520,1.5897 
336, 181, 0.2704, 0.1459,2.9615,1.5981 
337, 182, 0.2713, 0.1467,2.9711,1.6064 
338, 183, 0.2722, 0.1474,2.9806,1.6149 
339, 184, 0.2730, 0.1482,2.9900,1.6234 
340, 185, 0.2739, 0.1490,2.9994,1.6320 
341, 186, 0.2747, 0.1498,3.0082,1.6408 
342, 187, 0.2755, 0.1506,3.0169,1.6497 
343, 188, 0.2763, 0.1514,3.0256,1.6587 
344, 189, 0.2771, 0.1522,3.0341,1.6677 
345, 190, 0.2778, 0.1531,3.0426,1.6767 
346, 191, 0.2786, 0.1539,3.0510,1.6857 
347, 192, 0.2794, 0.1547,3.0593,1.6948 
348, 193, 0.2801, 0.1555,3.0676,1.7038 
349, 194, 0.2809, 0.1564,3.0758,1.7127 
350, 195, 0.2816, 0.1572,3.0839,1.7217 
350, 196, 0.2824, 0.1580,3.0920,1.7305 
351, 197, 0.2831, 0.1588,3.1000,1.7393 
352, 198, 0.2838, 0.1596,3.1080,1.7480 
353, 199, 0.2846, 0.1604,3.1160,1.7565 
354, 200, 0.2853, 0.1611,3.1239,1.7649 
355, 201, 0.2860, 0.1619,3.1318,1.7732 
356, 202, 0.2867, 0.1626,3.1394,1.7808 
357, 203, 0.2874, 0.1633,3.1469,1.7882 
358, 204, 0.2881, 0.1639,3.1545,1.7955 
358, 204, 0.2888, 0.1646,3.1620,1.8027 
